VehicleId,DOL Vehicle ID,VIN (1-10),2020 Census Tract,City,City URI,Postal Code,Model Year,Make,Make URI,Model,Model URI,Electric Vehicle Type,Electric Vehicle Type URI,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range
VID_5YJSA1E50P_233738144,233738144,5YJSA1E50P,53033002200,Seattle,https://www.wikidata.org/wiki/Q5083,98125,2023,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model S,https://www.wikidata.org/wiki/Q1463050,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Eligibility unknown as battery range has not been researched,0
VID_5YJSA1E49G_146452757,146452757,5YJSA1E49G,53061041901,Mukilteo,https://www.wikidata.org/wiki/Q1507307,98275,2016,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model S,https://www.wikidata.org/wiki/Q1463050,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,210
VID_5YJ3E1EA5J_273755457,273755457,5YJ3E1EA5J,53033032333,Redmond,https://www.wikidata.org/wiki/Q223718,98053,2018,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model 3,https://www.wikidata.org/wiki/Q7705507,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,215
VID_WVWPP7AU3F_348753814,348753814,WVWPP7AU3F,53063010102,Newman Lake,https://www.wikidata.org/wiki/Q6041613,99025,2015,Volkswagen Group,https://www.wikidata.org/wiki/Q156578,Volkswagen e-Golf,https://www.wikidata.org/wiki/Q17632770,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,83
VID_3FA6P0SU5K_218184837,218184837,3FA6P0SU5K,53053070209,Bonney Lake,https://www.wikidata.org/wiki/Q657810,98391,2019,Ford,https://www.wikidata.org/wiki/Q44294,Ford Fusion Hybrid,https://www.wikidata.org/wiki/Q5467794,plug-in hybrid,https://www.wikidata.org/wiki/Q1483388,Not eligible due to low battery range,26
VID_5YJ3E1EA2L_104966431,104966431,5YJ3E1EA2L,53067012001,Olympia,https://www.wikidata.org/wiki/Q42735,98502,2020,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model 3,https://www.wikidata.org/wiki/Q7705507,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,266
VID_4JGFB4GBXR_273919628,273919628,4JGFB4GBXR,53047970601,Omak,https://www.wikidata.org/wiki/Q1509671,98841,2024,Mercedes-Benz Group,https://www.wikidata.org/wiki/Q27530,Mercedes-Benz GLE-Class,https://www.wikidata.org/wiki/Q24056154,plug-in hybrid,https://www.wikidata.org/wiki/Q1483388,Clean Alternative Fuel Vehicle Eligible,48
VID_1FTVW3LK4S_283290402,283290402,1FTVW3LK4S,53061053302,Stanwood,https://www.wikidata.org/wiki/Q2601028,98292,2025,Ford,https://www.wikidata.org/wiki/Q44294,Ford F-150 Lightning,https://www.wikidata.org/wiki/Q99642802,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Eligibility unknown as battery range has not been researched,0
VID_7SAYGDEE2P_254414261,254414261,7SAYGDEE2P,53053060400,Tacoma,https://www.wikidata.org/wiki/Q199797,98407,2023,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model Y,https://www.wikidata.org/wiki/Q42298250,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Eligibility unknown as battery range has not been researched,0
VID_7SAYGDEE1T_281648356,281648356,7SAYGDEE1T,53039950301,White Salmon,https://www.wikidata.org/wiki/Q1019847,98672,2026,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model Y,https://www.wikidata.org/wiki/Q42298250,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Eligibility unknown as battery range has not been researched,0
VID_2C4RC1L7XM_152591435,152591435,2C4RC1L7XM,53033020500,Shoreline,https://www.wikidata.org/wiki/Q983657,98155,2021,Stellantis North America,https://www.wikidata.org/wiki/Q181114,Chrysler Pacifica,https://www.wikidata.org/wiki/Q23057901,plug-in hybrid,https://www.wikidata.org/wiki/Q1483388,Clean Alternative Fuel Vehicle Eligible,32
VID_7SAYGDEE5R_269601608,269601608,7SAYGDEE5R,53033032327,Woodinville,https://www.wikidata.org/wiki/Q986378,98072,2024,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model Y,https://www.wikidata.org/wiki/Q42298250,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Eligibility unknown as battery range has not been researched,0
VID_7SAYGDEF6P_224379249,224379249,7SAYGDEF6P,53033030404,Auburn,https://www.wikidata.org/wiki/Q661595,98001,2023,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model Y,https://www.wikidata.org/wiki/Q42298250,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Eligibility unknown as battery range has not been researched,0
VID_YV4H60CL8N_206947310,206947310,YV4H60CL8N,53033032102,Issaquah,https://www.wikidata.org/wiki/Q40251,98027,2022,AB Volvo,https://www.wikidata.org/wiki/Q163810,Volvo XC90 II Plug-in Hybrid,https://www.wikidata.org/wiki/Q90920794,plug-in hybrid,https://www.wikidata.org/wiki/Q1483388,Clean Alternative Fuel Vehicle Eligible,35
VID_JTJAAAAB0P_278739247,278739247,JTJAAAAB0P,53061051935,Bothell,https://www.wikidata.org/wiki/Q303046,98012,2023,Lexus,https://www.wikidata.org/wiki/Q35919,Lexus RZ,https://www.wikidata.org/wiki/Q110123748,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Eligibility unknown as battery range has not been researched,0
VID_LPSED3KA5M_280275495,280275495,LPSED3KA5M,53033008900,Seattle,https://www.wikidata.org/wiki/Q5083,98144,2021,Polestar,https://www.wikidata.org/wiki/Q4047174,Polestar 2,https://www.wikidata.org/wiki/Q60965166,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,233
VID_5YJ3E1EB4M_161895856,161895856,5YJ3E1EB4M,53033025104,Newcastle,https://www.wikidata.org/wiki/Q1502408,98059,2021,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model 3,https://www.wikidata.org/wiki/Q7705507,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Eligibility unknown as battery range has not been researched,0
VID_1C4JJXP66N_212145692,212145692,1C4JJXP66N,53053071305,Tacoma,https://www.wikidata.org/wiki/Q199797,98446,2022,Jeep,https://www.wikidata.org/wiki/Q30113,Jeep Wrangler,https://www.wikidata.org/wiki/Q1353305,plug-in hybrid,https://www.wikidata.org/wiki/Q1483388,Not eligible due to low battery range,21
VID_LPSED3KA7N_215025128,215025128,LPSED3KA7N,53033010602,Seattle,https://www.wikidata.org/wiki/Q5083,98136,2022,Polestar,https://www.wikidata.org/wiki/Q4047174,Polestar 2,https://www.wikidata.org/wiki/Q60965166,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Eligibility unknown as battery range has not been researched,0
VID_1V2DNPE87P_261360935,261360935,1V2DNPE87P,53067011200,Olympia,https://www.wikidata.org/wiki/Q42735,98501,2023,Volkswagen Group,https://www.wikidata.org/wiki/Q156578,Volkswagen ID.4,https://www.wikidata.org/wiki/Q86668068,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Eligibility unknown as battery range has not been researched,0
VID_3FA6P0SU8F_216604447,216604447,3FA6P0SU8F,53053062600,Tacoma,https://www.wikidata.org/wiki/Q199797,98409,2015,Ford,https://www.wikidata.org/wiki/Q44294,Ford Fusion Hybrid,https://www.wikidata.org/wiki/Q5467794,plug-in hybrid,https://www.wikidata.org/wiki/Q1483388,Not eligible due to low battery range,19
VID_5YJSA1CG9D_195436111,195436111,5YJSA1CG9D,53061051926,Bothell,https://www.wikidata.org/wiki/Q303046,98021,2013,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model S,https://www.wikidata.org/wiki/Q1463050,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,208
VID_2C4RC1N7XJ_156442884,156442884,2C4RC1N7XJ,53033022805,Bellevue,https://www.wikidata.org/wiki/Q214164,98007,2018,Stellantis North America,https://www.wikidata.org/wiki/Q181114,Chrysler Pacifica,https://www.wikidata.org/wiki/Q23057901,plug-in hybrid,https://www.wikidata.org/wiki/Q1483388,Clean Alternative Fuel Vehicle Eligible,33
VID_7PDSGABA2P_260374376,260374376,7PDSGABA2P,53061041610,Snohomish,https://www.wikidata.org/wiki/Q1505974,98296,2023,Rivian Automotive,https://www.wikidata.org/wiki/Q7338847,Rivian R1S,https://www.wikidata.org/wiki/Q59310393,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Eligibility unknown as battery range has not been researched,0
VID_3FMTK1SU5R_263022945,263022945,3FMTK1SU5R,53053071505,Tacoma,https://www.wikidata.org/wiki/Q199797,98445,2024,Ford,https://www.wikidata.org/wiki/Q44294,Ford Mustang Mach-E,https://www.wikidata.org/wiki/Q75419891,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Eligibility unknown as battery range has not been researched,0
